course_id,name,description,video_url,parent_id
1,Pengenalan Pemrograman Sisi Server,Konsep dasar server-side programming dan arsitektur client-server,https://youtube.com/watch?v=server01,
1,Node.js Fundamentals,Instalasi Node.js NPM dan membuat server sederhana,https://youtube.com/watch?v=nodejs01,1
1,Express.js Framework,Routing middleware dan template engine di Express,https://youtube.com/watch?v=express01,1
1,Django Framework,Pengenalan Django MTV pattern dan ORM,https://youtube.com/watch?v=django01,1
1,REST API Development,Membuat RESTful API dengan authentication dan authorization,https://youtube.com/watch?v=restapi01,1
2,Pengenalan Pemrograman Sisi Klien,HTML CSS JavaScript dan konsep dasar frontend development,https://youtube.com/watch?v=client01,
2,HTML5 dan CSS3,Semantic HTML flexbox grid dan responsive design,https://youtube.com/watch?v=htmlcss01,6
2,JavaScript Modern,ES6+ features async/await dan DOM manipulation,https://youtube.com/watch?v=js01,6
2,React.js,Component state props hooks dan React Router,https://youtube.com/watch?v=react01,6
2,Vue.js,Vue components directives Vuex dan Vue Router,https://youtube.com/watch?v=vue01,6
3,Pengenalan Data Mining,Konsep data mining preprocessing dan eksplorasi data,https://youtube.com/watch?v=mining01,
3,Python untuk Data Science,Pandas NumPy dan Matplotlib untuk analisis data,https://youtube.com/watch?v=python01,11
3,Machine Learning Basics,Supervised learning unsupervised learning dan model evaluation,https://youtube.com/watch?v=ml01,11
3,Clustering dan Klasifikasi,K-means decision tree random forest dan SVM,https://youtube.com/watch?v=cluster01,11
3,Association Rules,Market basket analysis dan Apriori algorithm,https://youtube.com/watch?v=assoc01,11
4,Pengenalan Kecerdasan Buatan,Sejarah AI agent intelligent dan problem solving,https://youtube.com/watch?v=ai01,
4,Neural Networks,Perceptron backpropagation dan multilayer networks,https://youtube.com/watch?v=nn01,16
4,Deep Learning,CNN RNN LSTM dan transfer learning,https://youtube.com/watch?v=dl01,16
4,Natural Language Processing,Text processing sentiment analysis dan chatbot,https://youtube.com/watch?v=nlp01,16
4,Computer Vision,Image processing object detection dan facial recognition,https://youtube.com/watch?v=cv01,16
5,Pengenalan Sistem Terdistribusi,Karakteristik sistem terdistribusi dan arsitektur,https://youtube.com/watch?v=dist01,
5,Microservices Architecture,Desain microservices API gateway dan service discovery,https://youtube.com/watch?v=micro01,21
5,Docker dan Containerization,Docker images containers dan Docker Compose,https://youtube.com/watch?v=docker01,21
5,Kubernetes,Pod deployment service dan orchestration,https://youtube.com/watch?v=k8s01,21
5,Cloud Computing,AWS Azure GCP dan cloud native applications,https://youtube.com/watch?v=cloud01,21
6,Pengenalan Kriptografi,Sejarah kriptografi konsep enkripsi dan dekripsi,https://youtube.com/watch?v=crypto01,
6,Symmetric Cryptography,DES AES dan block cipher modes,https://youtube.com/watch?v=sym01,26
6,Asymmetric Cryptography,RSA ECC dan public key infrastructure,https://youtube.com/watch?v=asym01,26
6,Hash Functions,MD5 SHA dan message authentication codes,https://youtube.com/watch?v=hash01,26
6,Blockchain dan Cryptocurrency,Bitcoin Ethereum smart contracts dan aplikasi blockchain,https://youtube.com/watch?v=blockchain01,26
